age,sex,imd_quintile,year,time_since_quit,p_relapse_1month
49,1,4,2017,3,0.0029263537238993775
49,1,4,2017,4,0.0017763704858946294
49,1,4,2017,5,0.0013576925096960846
49,1,4,2017,6,0.0006459672430469965
49,1,4,2017,7,0.0008231996003175146
49,1,4,2017,8,0.0001755750183979332
49,1,4,2017,9,0.0007640709511601562
49,1,4,2017,10,0.0
49,1,4,2018,1,0.009823985331501084
49,1,4,2018,2,0.004937181201097096
49,1,4,2018,3,0.0030148583804540108
49,1,4,2018,4,0.0018282808242862103
49,1,4,2018,5,0.0013968475978194395
49,1,4,2018,6,0.0006641662707027596
49,1,4,2018,7,0.0008465298439184199
49,1,4,2018,8,0.0001804424172699992
49,1,4,2018,9,0.0007856828019555673
49,1,4,2018,10,0.0
49,1,4,2019,1,0.010034212630960382
49,1,4,2019,2,0.0050399051350179525
49,1,4,2019,3,0.0030769040881676313
49,1,4,2019,4,0.0018656550694247098
49,1,4,2019,5,0.0014253329404354531
49,1,4,2019,6,0.0006776545803449663
49,1,4,2019,7,0.0008637393547618055
49,1,4,2019,8,0.00018409700894139736
49,1,4,2019,9,0.0008016498565641683
49,1,4,2019,10,0.0
49,1,5,2011,1,0.008435472291797419
49,1,5,2011,2,0.0042046869576857215
49,1,5,2011,3,0.0025582749491004364
49,1,5,2011,4,0.0015477286341391006
49,1,5,2011,5,0.001181450267169759
49,1,5,2011,6,0.000560884770654857
49,1,5,2011,7,0.0007151671559010309
49,1,5,2011,8,0.00015222384884838736
49,1,5,2011,9,0.0006636765337227901
49,1,5,2011,10,0.0
49,1,5,2012,1,0.008514224633348055
49,1,5,2012,2,0.004241414655801412
49,1,5,2012,3,0.002579959667808218
49,1,5,2012,4,0.0015605907001889907
49,1,5,2012,5,0.0011911957084684843
49,1,5,2012,6,0.0005654518653093188
49,1,5,2012,7,0.0007210095215999246
49,1,5,2012,8,0.00015345254264687025
49,1,5,2012,9,0.00066909238551216
49,1,5,2012,10,0.0
49,1,5,2013,1,0.008758038806413349
49,1,5,2013,2,0.004375175887216254
49,1,5,2013,3,0.0026645475309058364
49,1,5,2013,4,0.0016130130550844335
49,1,5,2013,5,0.0012315660517939753
49,1,5,2013,6,0.000584907429691528
49,1,5,2013,7,0.0007457239719036446
49,1,5,2013,8,0.00015878562435855947
49,1,5,2013,9,0.0006920561145312698
49,1,5,2013,10,0.0
49,1,5,2014,1,0.009016789508580203
49,1,5,2014,2,0.004523690314190532
49,1,5,2014,3,0.002760198411233983
49,1,5,2014,4,0.0016729769475227751
49,1,5,2014,5,0.0012779396114965813
49,1,5,2014,6,0.0006074183704001257
49,1,5,2014,7,0.0007742680219143816
49,1,5,2014,8,0.00016498604853187882
49,1,5,2014,9,0.0007185941512796168
49,1,5,2014,10,0.0
49,1,5,2015,1,0.008931513217842912
49,1,5,2015,2,0.004487308188132921
49,1,5,2015,3,0.0027397274402783944
49,1,5,2015,4,0.0016612511145228659
49,1,5,2015,5,0.0012691771859641987
49,1,5,2015,6,0.0006034136884697228
49,1,5,2015,7,0.0007691120139459162
49,1,5,2015,8,0.0001639276195443129
49,1,5,2015,9,0.0007138247385984897
49,1,5,2015,10,0.0
49,1,5,2016,1,0.009043662208394032
49,1,5,2016,2,0.004546071933641538
49,1,5,2016,3,0.0027762346393264137
49,1,5,2016,4,0.0016836317060719974
49,1,5,2016,5,0.0012863448540175737
49,1,5,2016,6,0.0006116324340539325
49,1,5,2016,7,0.0007795695662485835
49,1,5,2016,8,0.00016617068018653924
49,1,5,2016,9,0.0007235361432613718
49,1,5,2016,10,0.0
49,1,5,2017,1,0.009233945640695795
49,1,5,2017,2,0.004649008000817356
49,1,5,2017,3,0.0028410094652681073
49,1,5,2017,4,0.0017236609014790183
49,1,5,2017,5,0.001317140489634383
49,1,5,2017,6,0.000626449257073669
49,1,5,2017,7,0.0007983990232388605
49,1,5,2017,8,0.00017022793190146768
49,1,5,2017,9,0.0007410293925056433
49,1,5,2017,10,0.0
49,1,5,2018,1,0.00928382617722845
49,1,5,2018,2,0.004674595658002212
49,1,5,2018,3,0.002856843862748537
49,1,5,2018,4,0.0017333592282232635
49,1,5,2018,5,0.0013245796746856886
49,1,5,2018,6,0.0006300119029541973
49,1,5,2018,7,0.0008029315289419525
49,1,5,2018,8,0.0001712007518935854
49,1,5,2018,9,0.0007452386785432585
49,1,5,2018,10,0.0
49,1,5,2019,1,0.009330766606055696
49,1,5,2019,2,0.004697623371236137
49,1,5,2019,3,0.0028707747062737266
49,1,5,2019,4,0.0017417589146063728
49,1,5,2019,5,0.0013309839006029334
49,1,5,2019,6,0.0006330462485789612
49,1,5,2019,7,0.0008068024185189371
49,1,5,2019,8,0.00017202322054976626
49,1,5,2019,9,0.0007488302858406071
49,1,5,2019,10,0.0
50,2,1,2011,1,0.005964847501677362
50,2,1,2011,2,0.0029517970169790075
50,2,1,2011,3,0.001790884154218797
50,2,1,2011,4,0.001081572285775101
50,2,1,2011,5,0.0008250881162298329
50,2,1,2011,6,0.00039128260592391495
50,2,1,2011,7,0.0004990463463375727
50,2,1,2011,8,0.00010611846854002849
50,2,1,2011,9,0.00046307456846439443
50,2,1,2011,10,0.0
50,2,1,2012,1,0.006151618900019473
50,2,1,2012,2,0.003048860863652192
50,2,1,2012,3,0.001850916359422361
50,2,1,2012,4,0.001118259581976977
50,2,1,2012,5,0.0008531960353486134
50,2,1,2012,6,0.0004047099147351796
50,2,1,2012,7,0.0005161406183726847
50,2,1,2012,8,0.00010977761981634249
50,2,1,2012,9,0.0004789462829819513
50,2,1,2012,10,0.0
50,2,1,2013,1,0.006396135010614867
50,2,1,2013,2,0.0031757550565253423
50,2,1,2013,3,0.0019293696071160937
50,2,1,2013,4,0.0011661963717258805
50,2,1,2013,5,0.0008899208664112646
50,2,1,2013,6,0.0004222522779350202
50,2,1,2013,7,0.0005384741310515695
50,2,1,2013,8,0.00011455799775883513
50,2,1,2013,9,0.000499682416587599
50,2,1,2013,10,0.0
50,2,1,2014,1,0.006410532361944998
50,2,1,2014,2,0.0031855423762542356
50,2,1,2014,3,0.0019359651578418902
50,2,1,2014,4,0.0011704283585444175
50,2,1,2014,5,0.0008932187792546342
50,2,1,2014,6,0.00042387251503395174
50,2,1,2014,7,0.0005405226960053522
50,2,1,2014,8,0.0001150075448178578
50,2,1,2014,9,0.0005015888591600737
50,2,1,2014,10,0.0
50,2,1,2015,1,0.006413001691421671
50,2,1,2015,2,0.0031842230812473282
50,2,1,2015,3,0.001934483467860626
50,2,1,2015,4,0.0011692660810036504
50,2,1,2015,5,0.0008922559539583652
50,2,1,2015,6,0.00042335339797583416
50,2,1,2015,7,0.0005398806301337711
50,2,1,2015,8,0.0001148553421329579
50,2,1,2015,9,0.0005009868872188905
50,2,1,2015,10,0.0
50,2,1,2016,1,0.006920363356989645
50,2,1,2016,2,0.0034503848457894115
50,2,1,2016,3,0.002099858520407616
50,2,1,2016,4,0.0012706468050511788
50,2,1,2016,5,0.0009700210178138491
50,2,1,2016,6,0.0004605798234749159
50,2,1,2016,7,0.0005872484909580367
50,2,1,2016,8,0.00012501460728520097
50,2,1,2016,9,0.0005449747856566267
